Wavelength(nm),T,OD
418,9.80E+01,0.0088
419,9.80E+01,0.00885
420,9.80E+01,0.00881
421,9.80E+01,0.00884
422,9.80E+01,0.00884
423,9.80E+01,0.00878
424,9.80E+01,0.0089
425,9.80E+01,0.00879
426,9.80E+01,0.00884
427,9.80E+01,0.00888
428,9.80E+01,0.00878
429,9.80E+01,0.00891
430,9.80E+01,0.00882
431,9.80E+01,0.00881
432,9.80E+01,0.00891
433,9.80E+01,0.00878
434,9.80E+01,0.00886
435,9.80E+01,0.00886
436,9.80E+01,0.0088
437,9.80E+01,0.0089
438,9.80E+01,0.00879
